id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,person_id,name
tm22327,Full Metal Jacket,MOVIE,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987,R,117,"['war', 'drama']","['US', 'GB']",,tt0093058,8.3,729274.0,32.937,8.1,21108,Stanley Kubrick
tm180542,Once Upon a Time in America,MOVIE,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984,R,139,"['crime', 'drama', 'european']","['US', 'IT']",,tt0087843,8.3,345714.0,28.937,8.453,37242,Sergio Leone
tm138875,When Harry Met Sally...,MOVIE,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",1989,R,96,"['comedy', 'romance', 'drama']",['US'],,tt0098635,7.7,216199.0,15.123,7.4,224,Rob Reiner
tm2386,A Nightmare on Elm Street,MOVIE,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",1984,R,91,['horror'],"['GB', 'US']",,tt0087800,7.4,234068.0,48.358,7.3,925,Wes Craven
tm133087,Steel Magnolias,MOVIE,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.",1989,PG,119,"['comedy', 'drama', 'romance']",['US'],,tt0098384,7.3,54946.0,11.69,7.2,45795,Herbert Ross
tm177480,Police Academy,MOVIE,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!",1984,R,97,"['crime', 'comedy']",['US'],,tt0087928,6.7,124881.0,25.533,6.6,27046,Hugh Wilson
tm54450,Christine,MOVIE,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",1983,R,110,"['horror', 'thriller', 'european']",['US'],,tt0085333,6.7,81922.0,23.418,6.8,12968,John Carpenter
tm145608,Awakenings,MOVIE,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",1990,PG,120,"['drama', 'european']",['US'],,tt0099077,7.8,139240.0,12.23,7.8,18924,Penny Marshall
tm147710,National Lampoon's Christmas Vacation,MOVIE,"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.",1989,PG,97,"['comedy', 'european']",['US'],,tt0097958,7.5,185760.0,18.862,7.2,12814,Jeremiah S. Chechik
tm142895,Lean On Me,MOVIE,"When principal Joe Clark takes over decaying Eastside High School, he's faced with students wearing gang colors and graffiti-covered walls. Determined to do anything he must to turn the school around, he expels suspected drug dealers, padlocks doors and demands effort and results from students, staff and parents. Autocratic to a fault, this real-life educator put it all on the line.",1989,PG,105,['drama'],['US'],,tt0097722,7.4,20680.0,19.449,7.3,7782,John G. Avildsen
tm20712,Eddie Murphy Raw,MOVIE,"Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.",1987,R,90,"['comedy', 'documentation']",['US'],,tt0092948,7.6,19757.0,7.992,7.3,73538,Robert Townsend
tm117580,She's Gotta Have It,MOVIE,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",1986,R,84,"['romance', 'comedy']",['US'],,tt0091939,6.7,14472.0,7.416,6.707,31566,Spike Lee
tm130586,Endless Love,MOVIE,"Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.",1981,R,116,"['romance', 'drama']",['US'],,tt0082329,4.9,8524.0,19.116,5.7,32357,Franco Zeffirelli
ts2760,Fireman Sam,SHOW,"Follow the adventures of fireman Sam and his colleagues as they protect the citizens of the Welsh town of Pontypandy. Whenever the alarm sounds, brave Sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.",1987,G,10,"['animation', 'comedy', 'family', 'crime', 'european']",['GB'],13.0,tt0329829,6.1,1785.0,37.647,7.2,277353,Gary Andrews
tm21953,Sam Kinison: Breaking the Rules,MOVIE,"This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.",1987,R,50,"['comedy', 'documentation']",['US'],,tt0307403,7.2,660.0,1.843,7.2,128365,Walter C. Miller
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,"Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.",1982,R,81,"['comedy', 'documentation']",['GB'],,tt0084352,7.9,15230.0,6.833,7.4,64700,Terry Hughes
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,"Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.",1982,R,81,"['comedy', 'documentation']",['GB'],,tt0084352,7.9,15230.0,6.833,7.4,16383,Ian MacNaughton
tm132164,Bill Hicks: Sane Man,MOVIE,"Sane Man was filmed before Bill recorded ‘Dangerous’, his first comedy album, and is a turning point in Hicks’ career. It was the first complete Hicks show ever filmed and Bill pulled out all the stops for the cameras. Completely focused, a newly-sober Hicks paces the stage like a wild animal riffing effortless.",1989,R,80,['comedy'],['US'],,,,,3.377,7.5,354120,Kevin Booth
tm132164,Bill Hicks: Sane Man,MOVIE,"Sane Man was filmed before Bill recorded ‘Dangerous’, his first comedy album, and is a turning point in Hicks’ career. It was the first complete Hicks show ever filmed and Bill pulled out all the stops for the cameras. Completely focused, a newly-sober Hicks paces the stage like a wild animal riffing effortless.",1989,R,80,['comedy'],['US'],,,,,3.377,7.5,484289,David Johndrow
tm107744,Mission: Impossible,MOVIE,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",1996,PG,110,"['thriller', 'action']",['US'],,tt0117060,7.1,420673.0,41.115,6.9,11594,Brian De Palma
tm15897,Se7en,MOVIE,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995,R,127,"['crime', 'thriller', 'drama']",['US'],,tt0114369,8.6,1606270.0,51.633,8.352,2964,David Fincher
tm191013,Boogie Nights,MOVIE,"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",1997,R,156,['drama'],['US'],,tt0118749,7.9,261563.0,20.436,7.6,13025,Paul Thomas Anderson
tm122434,Forrest Gump,MOVIE,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994,PG,142,"['drama', 'romance']",['US'],,tt0109830,8.8,2021343.0,63.449,8.478,3238,Robert Zemeckis
tm25947,Snatch,MOVIE,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2000,R,103,"['crime', 'comedy']","['US', 'GB']",,tt0208092,8.3,841435.0,25.203,7.8,4505,Guy Ritchie
tm43808,The Talented Mr. Ripley,MOVIE,"Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.",1999,R,139,"['thriller', 'drama', 'crime']",['US'],,tt0134119,7.4,207524.0,13.78,7.2,15245,Anthony Minghella
tm191110,Titanic,MOVIE,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",1997,PG,194,"['drama', 'romance']",['US'],,tt0120338,7.9,1146825.0,155.683,7.878,3156,James Cameron
tm192037,Starship Troopers,MOVIE,"Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".",1997,R,129,"['scifi', 'action', 'thriller']",['US'],,tt0120201,7.3,291452.0,29.5,6.993,10468,Paul Verhoeven
tm27395,Mission: Impossible II,MOVIE,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",2000,PG,123,"['thriller', 'action']",['US'],,tt0120755,6.1,337987.0,29.392,6.1,8673,John Woo
tm113513,Dumb and Dumber,MOVIE,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",1994,PG,107,['comedy'],['US'],,tt0109686,7.3,379999.0,31.852,6.6,6341,Peter Farrelly
tm192405,Gattaca,MOVIE,"In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.",1997,PG,106,"['scifi', 'thriller', 'romance', 'drama']",['US'],,tt0119177,7.8,300701.0,17.789,7.553,9310,Andrew Niccol
tm116655,Léon: The Professional,MOVIE,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",1994,R,111,"['crime', 'drama', 'action', 'thriller', 'european']","['US', 'FR']",,tt0110413,8.5,1137357.0,51.406,8.323,977,Luc Besson
tm116488,Natural Born Killers,MOVIE,Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.,1994,R,118,"['thriller', 'drama', 'crime', 'action']",['US'],,tt0110632,7.3,11.0,21.933,7.1,13763,Oliver Stone
tm11556,The Quick and the Dead,MOVIE,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",1995,R,107,"['action', 'thriller', 'western', 'romance']","['JP', 'US']",,tt0114214,6.5,93767.0,13.056,6.5,6591,Sam Raimi
tm56574,You've Got Mail,MOVIE,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business.",1998,PG,119,"['comedy', 'romance', 'drama']",['US'],,tt0128853,6.7,211635.0,21.724,6.643,223,Nora Ephron
tm53991,Big Daddy,MOVIE,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",1999,PG,93,"['drama', 'comedy', 'european']",['US'],,tt0142342,6.4,215053.0,26.848,6.45,8969,Dennis Dugan
tm49178,Vampires,MOVIE,The church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight.,1998,R,104,"['fantasy', 'action', 'horror', 'thriller']",['US'],,tt0120877,6.1,58670.0,10.108,6.3,12968,John Carpenter
tm191989,Donnie Brasco,MOVIE,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,1997,R,127,"['drama', 'thriller', 'crime']",['US'],,tt0119008,7.7,303868.0,22.225,7.5,9898,Mike Newell
ts21034,InuYasha,SHOW,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",2000,PG,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",['JP'],9.0,tt0290223,7.9,15823.0,62.355,8.6,115792,Yasunao Aoki
ts21034,InuYasha,SHOW,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",2000,PG,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",['JP'],9.0,tt0290223,7.9,15823.0,62.355,8.6,200167,Masashi Ikeda
tm121879,A River Runs Through It,MOVIE,"A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up, and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's.",1992,PG,123,['drama'],['US'],,tt0105265,7.2,59854.0,19.58,7.1,11605,Robert Redford
tm44402,"Girl, Interrupted",MOVIE,"Set in the changing world of the late 1960s, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.",1999,R,127,"['drama', 'european']","['DE', 'US']",,tt0172493,7.3,183154.0,20.424,7.6,18526,James Mangold
tm187187,Last Action Hero,MOVIE,"Following the death of his father, young Danny Madigan takes comfort in watching action movies featuring the indestructible Los Angeles cop Jack Slater. After being given a magic ticket by theater manager Nick, Danny is sucked into the screen and bonds with Slater. When evil fictional villain Benedict gets his hands on the ticket and enters the real world, Danny and Jack must follow and stop him.",1993,PG,131,"['action', 'fantasy', 'comedy', 'family']",['US'],,tt0107362,6.4,150498.0,22.196,6.379,4381,John McTiernan
tm6859,My Girl,MOVIE,"Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse...",1991,PG,103,"['drama', 'family', 'romance', 'comedy', 'european']",['US'],,tt0102492,6.9,80590.0,20.545,7.4,58278,Howard Zieff
tm118238,Wyatt Earp,MOVIE,"Covering the life and times of one of the West's most iconic heroes Wyatt Earp weaves an intricate tale of Earp and his friends and family. With a star studded cast, sweeping cinematography and authentic costumes Wyatt Earp led the way during the Western revival in the 90's.",1994,PG,191,"['western', 'crime', 'action', 'drama']",['US'],,tt0111756,6.7,50774.0,14.677,6.751,21313,Lawrence Kasdan
tm111163,Eraser,MOVIE,"U.S. Marshall John Kruger erases the identities of people enrolled in the Witness Protection Program. His current assignment is to protect Lee Cullen, who's uncovered evidence that the weapons manufacturer she works for has been selling to terrorist groups. When Kruger discovers that there's a corrupt agent within the program, he must guard his own life while trying to protect Lee's.",1996,R,115,"['thriller', 'action', 'drama', 'crime']","['US', 'CA']",,tt0116213,6.1,110921.0,19.437,6.0,1516,Chuck Russell
tm192769,Vegas Vacation,MOVIE,"The Griswold family hits the road again for a typically ill-fated vacation, this time to the glitzy mecca of slots and showgirls—Las Vegas.",1997,PG,94,['comedy'],['US'],,tt0120434,5.9,49377.0,12.537,6.1,16771,Stephen Kessler
tm187791,In the Line of Fire,MOVIE,"Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.",1993,R,128,"['drama', 'thriller', 'crime', 'action']",['US'],,tt0107206,7.2,102916.0,19.8,6.973,11847,Wolfgang Petersen
tm113576,Little Women,MOVIE,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994,PG,115,"['drama', 'romance', 'family']",['US'],,tt0110367,7.3,58178.0,13.683,7.314,49931,Gillian Armstrong
tm65686,U.S. Marshals,MOVIE,"U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.",1998,PG,131,"['thriller', 'crime', 'action']",['US'],,tt0120873,6.5,105286.0,24.205,6.5,3639,Stuart Baird
tm191387,Anaconda,MOVIE,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.",1997,PG,89,"['horror', 'thriller', 'action']","['PE', 'US', 'BR']",,tt0118615,4.8,104213.0,34.405,5.1,19432,Luis Llosa
tm19494,The Replacements,MOVIE,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot.",2000,PG,118,"['comedy', 'sport']",['US'],,tt0191397,6.6,64771.0,30.982,6.6,22953,Howard Deutch
tm191772,Seven Years in Tibet,MOVIE,"Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.",1997,PG,136,"['action', 'drama', 'history', 'war']",['US'],,tt0120102,7.1,142903.0,13.766,7.2,20203,Jean-Jacques Annaud
tm12499,The Net,MOVIE,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down and make her the target of an assassination.",1995,PG,114,"['thriller', 'action', 'crime', 'drama']",['US'],,tt0113957,5.9,66667.0,15.935,6.0,3178,Irwin Winkler
tm186589,Cliffhanger,MOVIE,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",1993,R,112,"['action', 'thriller', 'comedy', 'animation']","['IT', 'US', 'FR']",,tt0106582,6.5,128972.0,27.78,6.5,18307,Renny Harlin
tm189764,Menace II Society,MOVIE,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,1993,R,97,"['drama', 'crime', 'thriller']",['US'],,tt0107554,7.5,58179.0,13.928,7.542,52010,Albert Hughes
tm189764,Menace II Society,MOVIE,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,1993,R,97,"['drama', 'crime', 'thriller']",['US'],,tt0107554,7.5,58179.0,13.928,7.542,24502,Allen Hughes
tm10739,Johnny Mnemonic,MOVIE,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",1995,R,97,"['action', 'drama', 'scifi', 'thriller']","['CA', 'US']",,tt0113481,5.6,71563.0,10.75,5.7,92056,Robert Longo
tm1822,3 Ninjas Kick Back,MOVIE,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",1994,PG,93,"['comedy', 'family', 'action', 'sport']","['JP', 'US']",,tt0109015,4.5,9321.0,12.603,5.5,63506,Charles T. Kanganis
tm55369,Edge of Seventeen,MOVIE,"From Toni Basil to the Eurythmics, from friendship bracelets to whip-it's, the summer of 1984 was about as 80s as the 80s ever got. Stuck right in the middle of it is Eric Hunter, heading towards his senior year, and passing the summer working at a local amusement park in the fast food restaurant. He is joined by his long time girl/friend Maggie, as they don their ugly brown polyester uniforms and face the world.",1998,R,104,"['romance', 'drama', 'comedy']",['US'],,tt0138414,6.8,6549.0,6.276,6.5,371210,David Moreton
tm192431,The Devil's Own,MOVIE,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",1997,R,107,"['crime', 'thriller', 'drama', 'action', 'european']",['US'],,tt0962637,6.2,65323.0,12.863,6.1,21376,Alan J. Pakula
